k,AAE,ARE,RR,PR,F1,
264,1026.94,0.174218,0.545455,1,0.705882,
246,1054.93,0.175866,0.565041,1,0.722078,
234,1082.59,0.175431,0.568376,1,0.724796,
223,1128.7,0.178027,0.565022,1,0.722063,
208,1160.24,0.181188,0.586538,1,0.739394,
200,1168.31,0.182116,0.605,1,0.753894,
190,1194.12,0.181875,0.615789,1,0.762215,
187,1253.03,0.188198,0.593583,1,0.744966,
177,1270.99,0.187456,0.610169,1,0.757895,
171,1270.32,0.187075,0.631579,1,0.774194,
165,1307.21,0.189123,0.630303,1,0.773234,
158,1338.31,0.188742,0.632911,1,0.775194,
149,1362.26,0.191259,0.657718,1,0.793522,
143,1372.74,0.187459,0.664336,1,0.798319,
138,1404.01,0.190452,0.673913,1,0.805195,
135,1404.14,0.185989,0.674074,1,0.80531,
133,1410.44,0.184845,0.676692,1,0.807175,
129,1410.47,0.184863,0.697674,1,0.821918,
126,1431.57,0.185038,0.698413,1,0.82243,
124,1434.77,0.183184,0.701613,1,0.824645,
120,1459.85,0.184206,0.708333,1,0.829268,
118,1509.07,0.184824,0.686441,1,0.81407,
117,1540.38,0.187296,0.675214,1,0.806122,
116,1573.95,0.186884,0.655172,1,0.791667,
113,1595.45,0.185403,0.654867,1,0.791444,
111,1630.96,0.187074,0.648649,1,0.786885,
111,1657.59,0.182631,0.621622,1,0.766667,
109,1702.11,0.181389,0.605505,1,0.754286,
107,1702.95,0.181599,0.616822,1,0.763006,
106,1721.35,0.181915,0.613208,1,0.760234,
105,1721.66,0.181925,0.619048,1,0.764706,
104,1765.6,0.179984,0.596154,1,0.746988,


